"country","hdi","hdi_class","dma","cvdr","age_65"
"Brazil",0.758,"High",32.4,5883.249676,9.29075512793776
"Cameroon",0.578,"Medium",17.4,3353.581812,2.73698475900564
"Canada",0.931,"Very High",39.9,11771.43528,18.0184265996951
"Chile",0.852,"Very High",34.5,6003.170582,12.3955778026311
"China",0.764,"High",37.4,8460.081981,12.5982619560395
"Colombia",0.756,"High",30.4,4773.920461,8.47231076171452
"Denmark",0.947,"Very High",41.2,10669.83638,20.0469184421079
"France",0.898,"Very High",41.4,10238.63282,21.0095477123755
"Germany",0.944,"Very High",44.9,11977.15266,21.9637344087494
"Guinea",0.466,"Low",17.6,3275.659899,3.3868105650427
"Hungary",0.849,"Very High",42.5,14638.53849,20.0974558160559
"India",0.642,"Medium",27.3,5114.688561,6.67232006787184
"Iran",0.777,"High",31.4,8026.212635,7.1076541617204
"Ireland",0.943,"Very High",37.3,8072.070764,14.5443326373668
"Italy",0.889,"Very High",46.4,15937.50352,23.3720710799476
"Kenya",0.578,"Medium",18.9,4118.711932,2.8030771107022
"Maldives",0.734,"High",29.9,3932.02393,4.38400740225256
"Mexico",0.756,"High",28.7,4706.572729,8.02123669897249
"Netherlands",0.939,"Very High",41.7,10305.61513,19.6470630241117
"Nigeria",0.535,"Low",16.9,3674.508552,3.00253320729103
"Pakistan",0.543,"Low",20,3850.797446,4.17417916257474
"Peru",0.762,"High",28,4129.311653,8.25253456293149
"Portugal",0.863,"Very High",44.7,10218.49209,22.2967255949746
"Senegal",0.513,"Low",17.6,3968.729876,3.17310898192517
"Spain",0.899,"Very High",43.5,9820.963173,19.6725085886783
"Switzerland",0.956,"Very High",41.7,9373.015825,18.7258475405716
"UK",0.924,"Very High",39.5,9668.34059,18.7225119004065
"US",0.92,"Very High",37.5,12095.05821,16.2234001500798
